id,Name,Link Area,Latitude,Longitude,Rating,Open/Close time,Area,Overview,Summarization,Image,
11,September 23rd Park,https://maps.app.goo.gl/yG8BuaxACUhs2ESv8,10.768737748239698,106.69234268225901,4.4,Mon - Sun: 00:00 - 23:59,"Pham Ngu Lao Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam","September 23rd Park is one of Ho Chi Minh City’s most popular attractions, drawing both locals and tourists. Covered in lush greenery, the park offers a peaceful escape amid the city’s vibrant energy. Visitors can take a walk, exercise, or simply relax and enjoy the scenery. Beneath the park lies Taka Plaza and Asiana Food Town — a shopping and dining paradise. During festivals, it becomes a lively venue for cultural events, music, and fairs. It’s the perfect place to experience the youthful and dynamic spirit of Saigon.","Large central park with an underground market, popular for exercise and cultural festivals.",https://statics.vinpearl.com/cong-vien-23-9-4_1633514794.jpg,"#walking, #entertainment, #streetfood, #outdoor, #evening, #sunset, #vibrant, #pleasant, #natural, #sunny, #windy, #moment, #long_time, #few_hours"
12,Vee Ayy Food,https://maps.app.goo.gl/J9tjaSsVB3jf3Ysc8,10.760502905912865,106.68968288215102,4.3,Mon - Sun: 10:00 - 22:30,"345/84 Tran Hung Dao Street, Cau Kho Ward, District 1, Ho Chi Minh City, Vietnam","This article by Quán Số highlights their partnership with the Vee Ayy Food Restaurant chain, a popular dining spot trending among young people. The restaurant stands out for its luxurious, palace-like interior, offering many ""Instagrammable"" photo corners, along with a diverse menu of high-quality, reasonably priced European and Asian dishes. The chain currently operates two branches in Ho Chi Minh City. Quán Số is proud to provide their DRS Manager Sales Management Software along with other solutions like DRS Staff (remote ordering) and QS Admin (remote management) to help Vee Ayy Food run operations and serve customers optimally. Quán Số pledges to continue developing the best possible solutions for business management.",Chic Asian-European fusion restaurant popular with youth for its photogenic decor and reasonable prices.,https://thicongnhahang.vn/storage/app/media/-------------123Thang5/Vee%20Ayy%20Food/thiet-ke-vee-ayy-food-10.jpg,"#food, #dating, #photo, #indoor, #evening, #modern, #romantic, #youthful, #rain, #cloudy, #few_hours, #entertainment"
13,Miya sushi & bbq,https://maps.app.goo.gl/J3VkWZk9qjVA8seG6,10.770093901520772,106.69006719072225,4.7,"Mon - Sun: 10:30 - 14:00, 17:00 - 21:30","150/43A Nguyen Trai Street, Ben Thanh Ward, District 1, Ho Chi Minh City, Vietnam","Miya Sushi & BBQ is a well-known Japanese restaurant chain offering a unique fusion of the refined flavors of fresh Sushi and Sashimi with the appeal of tableside BBQ dishes. The restaurant features a cozy and elegant atmosphere, reflecting the culture of the Land of the Rising Sun, making it perfect for dates, family gatherings, and friends' meetups. Miya's menu is highly diverse, ranging from traditional Sushi rolls, Ramen, and Udon to Japanese rice sets and BBQ items marinated in special sauces. With its focus on fresh, high-quality ingredients and meticulous preparation, Miya Sushi & BBQ is an ideal destination for Saigon's food enthusiasts seeking an authentic and memorable Japanese culinary experience at a reasonable price point.","Cozy Japanese restaurant serving fresh sushi and table-side BBQ, perfect for dates and gatherings.",https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-9-normal-129951313766.webp,"#food, #dating, #indoor, #evening, #modern, #romantic, #cozy, #elegant, #rain, #cloudy, #few_hours, #luxury"
14,My Son Quang Noodles,https://maps.app.goo.gl/oTmWmgaDx1r1qyUT6,10.789184352282875,106.69905770544784,3.8,Mon - Sun: 06:00 - 21:00,"38B Dinh Tien Hoang Street, Da Kao Ward, District 1, Ho Chi Minh City, Vietnam","My Son Quang Noodles is a popular spot in District 1, celebrated for its authentic Quang-style noodles from Central Vietnam. The restaurant draws diners with its soft, white rice noodles bathed in a minimal yet rich and flavorful broth, seasoned with a distinct recipe. The bowls are generously filled with diverse toppings, most commonly shrimp and pork, free-range chicken, or snakehead fish, served with roasted peanuts, fragrant fried shallots, and crispy rice crackers. The restaurant's ambiance is typically simple, airy, with warm tones, subtly evoking the rustic charm of the ancient town of Hội An. Mì Quảng Mỹ Sơn is an excellent choice for anyone seeking the traditional flavors of Quảng Nam right in the heart of bustling Saigon.",Famous District 1 spot serving authentic Central Vietnamese Quang noodles with rich broth and diverse toppings.,https://down-vn.img.susercontent.com/vn-#moment34259-7r98o-lwdaqznhyz154f@resize_w800,"#food, #indoor, #morning, #traditional, #rustic, #cheap, #cozy, #rain, #sunny, #moment, #few_hours, #takeaway"
15,Back of the Bike Tours – Ho Chi Minh City Food Tours,https://maps.app.goo.gl/WhzFKCqx1KMs5xBFA,10.778286519339447,106.70201235757627,4.9,Mon - Sun: 00:00 - 23:59,"72 Le Thanh Ton Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","Back of the Bike Tours is one of the leading companies in HCMC, specializing in food and cultural tours conducted via motorbikes. The unique concept has guests riding pillion with a local guide, venturing deep into hidden alleys, residential areas, and ""secret"" eateries that tourists would rarely discover on their own. The tours are highly praised for their safety, friendly staff, and ability to help visitors authentically experience the vibrant pulse of Saigon traffic. The meticulously curated food menu features a blend of classic and unique dishes, ensuring a complete and exciting culinary journey through the flavors of Saigon.",Tour company offering immersive motorbike food and culture tours to hidden local gems.,https://e9h6jba7255.exactdn.com/wp-content/uploads/2023/08/Saigon-Motorbike-Food-tour.jpg?strip=all&lossy=0&ssl=1,"#entertainment, #food, #streetfood, #outdoor, #evening, #vibrant, #culture, #unique, #windy, #long_time, #few_hours"
16,Chu Chen's Rib Porridge & Char Siu Rice,https://maps.app.goo.gl/sR2P3eZYPbVCPwTy5,10.764548674267528,106.68689510569929,4.2,Mon - Sun: 07:00 - 23:00,"281 Nguyen Trai Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam","Chu Chen's Rib Porridge and Char Siu Rice is a popular Taiwanese-style food chain, best known for its unique Taiwanese Rib Porridge. The porridge is characterized by its exceptionally smooth, velvety texture, cooked until creamy, and served with tender baby ribs and century eggs or various other toppings. Additionally, the restaurant offers delicious Char Siu Rice, featuring intensely marinated and roasted char siu pork prepared with a secret recipe, accompanied by a signature sauce and soft rice. With its novel, authentic street food flavor from Taiwan, Chu Chen is an ideal destination for those looking for a different taste and wishing to enjoy a hot, nutritious meal right in the heart of Saigon.",Taiwanese eatery famous for smooth rib porridge and savory char siu rice in a casual setting.,https://chaosuonchuchen.vn/wp-content/uploads/2024/09/khong-gian-3.webp,"#food, #indoor, #late_night, #evening, #rustic, #cozy, #cheap, #rain, #cloudy, #moment, #few_hours, #takeaway"
17,Bento Dino,https://maps.app.goo.gl/ANUAM2ZKFv3oBWyH7,10.770151146601387,106.68756227106523,3.3,Mon - Sun: 09:00 - 14:00,"134/3/1 Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam","Bento Dino is a popular eatery in the heart of District 1, well-known for its Crispy Fried Chicken Rice and affordable, high-quality office lunch options. The restaurant attracts numerous students and office workers by blending traditional Vietnamese flavors with a modern, clean presentation, resembling the convenient Bento box style. Their signature fried chicken is specially prepared, featuring a golden, crispy skin served alongside dry, fragrant, and non-greasy fried rice grains. Bento Dino also stands out with a diverse menu, including pork chop, stir-fried beef, and fish, along with frequent appealing promotions. It is an ideal choice for a quick, delicious, and fulfilling lunch.","Popular lunch spot for students/office workers serving crispy chicken rice in clean, convenient bento boxes.",https://mms.img.susercontent.com/vn-#moment34513-7r98o-lsv7er7da1sp7f@resize_ss1242x600!@crop_w1242_h600_cT,"#food, #indoor, #morning, #modern, #minimalist, #quiet, #cheap, #rain, #cloudy, #moment, #few_hours"
18,Hua Wu Lou,https://maps.app.goo.gl/woean2yPGvr2pQjq7,10.768220698581676,106.68691869118699,3.9,"Mon - Sun: 08:00 - 21:30, 17:00 - 21:30","83B Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam","Hua Wu Lou (Dimsum Street) is a popular restaurant chain featuring a distinctive Chinese street-food and restaurant style, specializing in delicious Dimsum dishes. The restaurant attracts diners with its diverse menu, ranging from classics like Shrimp Dumplings, Siu Mai, and Steamed Chicken Feet with Black Bean Sauce to unique items such as Baked Crab Shell with Cheese or Hand-held Shrimp Vermicelli. The Dimsum here is praised for retaining its authentic flavor, with fresh, thin wrappers and generous fillings, always served piping hot. Hua Wu Lou also offers convenient lunch sets, perfect for office workers. With a cozy interior featuring traditional decor, it is an ideal spot to savor the best of Hong Kong cuisine at a reasonable price point in central Saigon.",Chinese street-food style Dimsum spot serving traditional dumplings and chicken feet in a casual atmosphere.,https://top10hcmcity.com/wp-content/uploads/2024/09/405300662_830699422397803_7229603233776615594_n.jpg,"#food, #indoor, #morning, #traditional, #culture, #cozy, #rain, #cloudy, #few_hours, #luxury, #long_time"
19,Di Nam Sa Dec's Hu Tieu Sa Dec and Banh Tam,https://maps.app.goo.gl/JCrS4nYcMSS9fRxb7,10.768321673995917,106.6865319999449,4.3,Mon - Sun: 06:00 - 22:00,"166 Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, VIetnam","Di Nam Sa Dec's Hu Tieu Sa Dec and Banh Tam is a renowned eatery in District 1 that embodies the authentic culinary spirit of the Mekong Delta, specializing in two famous dishes: Sa Dec Noodle Soup and Banh Tam. Their Sa Dec Hủ Tiếu is beloved for its distinctively chewy yet soft noodles, clear and naturally sweet broth made from simmered bones, and fresh toppings. Conversely, Bánh Tằm Bì is a unique dish featuring thick, chewy rice noodles, finely sliced pork skin, and spring rolls, topped with rich coconut milk and a sweet-and-sour fish sauce. The shop attracts diners with its genuine, rustic Sa Dec flavors, creating the feeling of dining right in the Mekong Delta region. Di Nam Sa Dec is the perfect place to experience the richness of Southern Vietnamese cuisine.","Eatery specializing in authentic Sa Dec noodles with chewy rice noodles and sweet, clear broth.",https://down-vn.img.susercontent.com/vn-#moment34259-7r98o-lwwojxp9q0nt08,"#food, #indoor, #morning, #traditional, #rustic, #cheap, #rain, #sunny, #moment, #few_hours"
20,Pho Hien 1985,https://maps.app.goo.gl/bDapetYPLTC1hnzD6,10.764292020399242,106.68742126247687,4.2,Mon - Sun: 06:00 - 23:30,"269A Nguyen Trai Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam","Pho Hien 1985 is a time-honored traditional Pho restaurant, famous in District 1, having served patrons for decades. The shop is beloved for faithfully preserving the traditional Northern Pho flavor, featuring a clear, naturally sweet broth simmered from beef bones for hours, subtly fragrant with herbs and spices. Pho Hien specializes in various beef Pho options, ranging from rare beef, flank, and brisket to the premium beef shank (loi rua). The rice noodles are soft and tender, the beef slices are fresh and high-quality, served with crispy quay (fried dough) and fresh herbs. Pho Hien 1985 is not just a place to eat, but a keeper of traditional culinary culture, making it an ideal choice for anyone seeking an authentic and comforting bowl of Pho.","Long-standing traditional Pho shop in District 1 known for its clear, sweet Northern-style bone broth.",https://img.mservice.com.vn/common/u/05e07d15ed1a84ee51cdfe60756960e55412b5dcd748a2e496a53522eb6597fa/3fb11ab3-a0eb-4daf-b7b8-244b79307b87upwq1jgg.jpg,"#food, #indoor, #morning, #traditional, #vintage, #cozy, #rain, #sunny, #moment, #few_hours, #takeaway"
21,Ancient Hue Beef Noodle Soup,https://maps.app.goo.gl/eu4ZXw64ZNhbt5b7A,10.770940807914139,106.68964489310882,3.8,Mon - Sun: 07:30 - 23:30,"148 Bis Le Thi Rieng Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam","Bun Bo Hue Xua is a popular restaurant chain that brings the traditional flavors of Bun Bo Hue (Hue Beef Noodle Soup) to the heart of Saigon. The eatery is favored by patrons for its high-quality bowls that perfectly capture the richness and spicy zest characteristic of Hue cuisine. The broth is slow-simmered, fragrant with lemongrass and fermented shrimp paste, creating a distinctive and memorable taste. The generous bowls are loaded with various toppings, including beef, pork hock, crab paste patties, and blood pudding, catering to all preferences. With a clean, cozy atmosphere and affordable prices, Bun Bo Hue Xua is a frequent stop for both locals and tourists seeking an authentic and comforting taste of the ancient Imperial city.","Authentic Bun Bo Hue spot serving spicy, rich beef noodle soup with generous toppings.",https://down-vn.img.susercontent.com/vn-#moment34259-7r98o-lwbts798oyxl6d@resize_w800,"#food, #indoor, #morning, #traditional, #vintage, #cozy, #cheap, #rain, #sunny, #moment, #few_hours"
22,Cong Quynh Mixed Rice Paper,https://maps.app.goo.gl/cu4Fw3ZSTrD3HxK47,10.766073549808707,106.68965445758387,5,"Mon: 09:00 - 17:00, Tue - Fri: 12:00 - 23:30, Sun: 12:00 - 17:00","125 Cong Quynh Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam","Cong Quynh Mixed Rice Paper (Banh Trang Tron Cong Quynh) is one of the most famous and longest-running street food stalls in District 1, often dubbed a culinary ""paradise"" for Saigon's youth and office workers. The popular snack is a delightful mix of textures and flavors, centered around chewy strips of rice paper. It’s characterized by the perfect balance of the sourness from shredded green mango, the savory richness of dried beef and quail eggs, and a spicy kick from chili paste. The stall's secret lies in its generous, flavorful toppings and the fragrant aroma from fried shallots and roasted peanuts. Located on Cong Quynh street, this spot perfectly embodies the creative, delicious, and highly affordable street food culture that Saigon is famous for, making it an essential local experience.",Famous street food stall known for its delicious mixed rice paper with green mango and beef jerky.,https://cdn.tgdd.vn/Files/2022/01/03/1408664/6-dia-diem-ban-banh-trang-quan-1-ngon-nhat-nhi-sai-gon-202201030055128795.jpg,"#snacks, #streetfood, #outdoor, #evening, #vibrant, #youthful, #cheap, #sunny, #windy, #moment"
23,Nguyen Hue Flower Street,https://maps.app.goo.gl/dww36EL73ULVg9oF8,10.77189044523642,106.70614199990901,4.5,Mon - Sun: 19:00 - 21:00,"6 Nguyen Hue Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","Nguyen Hue Flower Street (Duong Hoa Nguyen Hue) is an annual floral art event that transforms the Nguyen Hue Pedestrian Street in District 1 into a vibrant, giant flower park every Lunar New Year (Tet) holiday. This installation has become a new cultural symbol of Ho Chi Minh City since 2004. The Flower Street is designed with a different theme each year, usually featuring the corresponding Zodiac animal (e.g., the Dragon for the Year of the Dragon) and conveying messages of reunion, peace, and prosperity. The street typically opens to the public for about seven days (from the 28th day of the Lunar December to the 5th day of Tet) and attracts millions of visitors who come to admire and photograph the stunning floral displays, making it an indispensable part of Saigon's festive atmosphere.",Annual Tet festival event transforming the walking street into a vibrant floral art display.,https://hoangkimlandscape.com/image/catalog/5.%20BLOG/4-DUONG-HOA-NGUYEN-HUE-MOT-TRONG-NHUNG-BIEU-TUONG-CUA-SAI-GON-MOI-DO-XUAN-VE/I-LICH-SU-NET-VAN-HOA-TRUYEN-THONG-1/duong-hoa-nguyen-hue-nam-mau-tuat.jpg,"#walking, #photo, #outdoor, #evening, #vibrant, istic, #culture, #natural, #sunny, #windy, #few_hours, #long_time"
24,Ngo Nho Pho Nho's Bun Dau,https://maps.app.goo.gl/FGtfC7MrdJEmyXdP9,10.777392061705442,106.69987889989862,4,Mon - Sun: 10:00 - 21:00,"158 Pasteur Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","Bun Dau Ngo Nho Pho Nho is a well-known eatery in District 1, faithfully bringing the distinct flavors of Hanoi's street food to Saigon. The restaurant is famous for its generous and fresh platter of Bun Dau Mam Tom (Rice Vermicelli with Tofu and Fermented Shrimp Paste), which includes rice vermicelli, hot crispy fried tofu, thit chan gio luoc (boiled pork knuckle), cha com (green rice flake sausage), and pork sausage. The crucial highlight is the Mam Tom (fermented shrimp paste) dipping sauce, expertly mixed with a balanced blend of sour, spicy, and sweet flavors. The restaurant's ambiance is cozy, recreating the feel of Hanoi's ancient small alleys and small streets (Ngo Nho, Pho Nho). This is an ideal choice for food lovers seeking authentic Northern Vietnamese cuisine.",Hanoi-style eatery serving vermicelli with tofu and fermented shrimp paste in a nostalgic setting.,https://img.mservice.com.vn/common/u/2e02fb5fe4f64fb55bc713540643c6f8eae702d101cea8c59afc49cfc505fc37/11b0291a-8982-4c5b-8b37-e27a2180968d9_bywklx,"#food, #indoor, #evening, #traditional, #rustic, #cozy, #cheap, #rain, #cloudy, #few_hours, #moment, #takeaway"
25,Ba Son Harbour Park,https://maps.app.goo.gl/PFyUSmor98GsvBdE7,10.786009334099177,106.71332615755415,4.7,Mon - Sun: 00:00 - 23:59,"2 Ton Duc Thang Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","Ba Son Harbour Park is located on the historic site of the former Ba Son Shipyard, right along the Saigon River in central District 1. Regarded as a ""new public square"" and a green riverside space, the park is a key component of the Grand Marina Saigon and Vinhomes Golden River complex. It offers a tranquil, green oasis, providing a complete escape from the urban hustle. The park is renowned for its spectacular panoramic views overlooking the Thu Thiem Peninsula and the surrounding skyscrapers of District 1. Ba Son Harbour Park is an ideal spot for catching the sunrise, morning exercise, and serves as a picturesque, romantic check-in location, marking the convergence of historical heritage and modern urban architecture.",Riverside park on old shipyard grounds offering green space and panoramic river views.,https://mia.vn/media/uploads/blog-du-lich/cau-ba-son-thiet-ke-1736564498.jpg,"#walking, #photo, #outdoor, #morning, #sunset, #modern, #minimalist, #pleasant, #natural, #sunny, #windy, #moment"
